subject,relation,object,pattern,source_url
Vyacheslav Zaytsev,bornIn,Saint Petersburg,wikidata_structured,https://www.wikidata.org
Andrea Giovi,bornIn,Perugia,wikidata_structured,https://www.wikidata.org
Jochen Schöps,bornIn,Villingen-Schwenningen,wikidata_structured,https://www.wikidata.org
Andrea Raffaelli,bornIn,San Benedetto del Tronto,wikidata_structured,https://www.wikidata.org
Tsutomu Koyama,bornIn,Sakaide,wikidata_structured,https://www.wikidata.org
Nikolay Apalikov,bornIn,Orsk,wikidata_structured,https://www.wikidata.org
Christoph Dieckmann,bornIn,Bonn,wikidata_structured,https://www.wikidata.org
Dejan Bojović,bornIn,Smederevska Palanka,wikidata_structured,https://www.wikidata.org
Pedro Cunha,bornIn,Rio de Janeiro,wikidata_structured,https://www.wikidata.org
Jörg Ahmann,bornIn,Grevenbroich,wikidata_structured,https://www.wikidata.org
Andrzej Niemczyk,bornIn,Łódź,wikidata_structured,https://www.wikidata.org
Andrea Ghiurghi,bornIn,Varese,wikidata_structured,https://www.wikidata.org
Andrea Bari,bornIn,Senigallia,wikidata_structured,https://www.wikidata.org
Kim Ho-Chul,bornIn,Miryang,wikidata_structured,https://www.wikidata.org
Karch Kiraly,bornIn,Jackson,wikidata_structured,https://www.wikidata.org
Tomislav Čošković,bornIn,Zagreb,wikidata_structured,https://www.wikidata.org
Emanuel Kohút,bornIn,Bratislava,wikidata_structured,https://www.wikidata.org
Tuomas Sammelvuo,bornIn,Pudasjärvi,wikidata_structured,https://www.wikidata.org
Jean-Charles Monneraye,bornIn,Vannes,wikidata_structured,https://www.wikidata.org
Idner Faustino Lima Martins,bornIn,Santa Maria,wikidata_structured,https://www.wikidata.org
Sascha Heyer,bornIn,Zurich,wikidata_structured,https://www.wikidata.org
Radosław Panas,bornIn,Opole,wikidata_structured,https://www.wikidata.org
Alexander Horst,bornIn,Vienna,wikidata_structured,https://www.wikidata.org
Ariel Hilman,bornIn,HaOgen,wikidata_structured,https://www.wikidata.org
Rafael Pascual,bornIn,Madrid,wikidata_structured,https://www.wikidata.org
Philip Schneider,bornIn,Röthis,wikidata_structured,https://www.wikidata.org
Todd Rogers,bornIn,Santa Barbara,wikidata_structured,https://www.wikidata.org
Steve Timmons,bornIn,Newport Beach,wikidata_structured,https://www.wikidata.org
Jaime Gómez,bornIn,Manzanillo,wikidata_structured,https://www.wikidata.org
Roy Chiu,bornIn,Taiwan,wikidata_structured,https://www.wikidata.org
Ricardo Santos,bornIn,Salvador,wikidata_structured,https://www.wikidata.org
Arvid Kinder,bornIn,Berlin,wikidata_structured,https://www.wikidata.org
Bernardo Rezende,bornIn,Rio de Janeiro,wikidata_structured,https://www.wikidata.org
Stefan Kobel,bornIn,Winterthur,wikidata_structured,https://www.wikidata.org
Aleksandr Borisovich Savin,bornIn,Taganrog,wikidata_structured,https://www.wikidata.org
Nico Freriks,bornIn,Uden,wikidata_structured,https://www.wikidata.org
Edwin Benne,bornIn,Amersfoort,wikidata_structured,https://www.wikidata.org
Nikola Kovačević,bornIn,Kraljevo,wikidata_structured,https://www.wikidata.org
Kent Steffes,bornIn,Ann Arbor,wikidata_structured,https://www.wikidata.org
Axel Jacobsen,bornIn,Necochea,wikidata_structured,https://www.wikidata.org
Ruslan Olikhver,bornIn,Riga,wikidata_structured,https://www.wikidata.org
Alberto Cisolla,bornIn,Treviso,wikidata_structured,https://www.wikidata.org
Roberto Santilli,bornIn,Rome,wikidata_structured,https://www.wikidata.org
Luc Marquet,bornIn,Lyon,wikidata_structured,https://www.wikidata.org
Stefan Kobel,bornIn,Rikon,wikidata_structured,https://www.wikidata.org
Sergey Tetyukhin,bornIn,Fergana,wikidata_structured,https://www.wikidata.org
Matt Anderson,bornIn,Buffalo,wikidata_structured,https://www.wikidata.org
Ivan Miljković,bornIn,Niš,wikidata_structured,https://www.wikidata.org
André Lopes,bornIn,Seia,wikidata_structured,https://www.wikidata.org
Gustavo Endres,bornIn,Passo Fundo,wikidata_structured,https://www.wikidata.org
Vladimir Grbić,bornIn,Zrenjanin,wikidata_structured,https://www.wikidata.org
Vigor Bovolenta,bornIn,Porto Viro,wikidata_structured,https://www.wikidata.org
Dave Saunders,bornIn,Seattle,wikidata_structured,https://www.wikidata.org
Dominique Daquin,bornIn,Le Robert,wikidata_structured,https://www.wikidata.org
Robert Horstink,bornIn,Voorst,wikidata_structured,https://www.wikidata.org
Nikola Grbić,bornIn,Klek,wikidata_structured,https://www.wikidata.org
Ivan Zaytsev,bornIn,Spoleto,wikidata_structured,https://www.wikidata.org
Raúl Lozano,bornIn,La Plata,wikidata_structured,https://www.wikidata.org
Karol Kłos,bornIn,Warsaw,wikidata_structured,https://www.wikidata.org
Tibor Antalpéter,bornIn,Budapest,wikidata_structured,https://www.wikidata.org
Juan José Salvador,bornIn,Almería,wikidata_structured,https://www.wikidata.org
Richard Lambourne,bornIn,Louisville,wikidata_structured,https://www.wikidata.org
Richard Schuil,bornIn,Leeuwarden,wikidata_structured,https://www.wikidata.org
Aleksandr Korneev,bornIn,Moscow,wikidata_structured,https://www.wikidata.org
Miloš Stojković,bornIn,Požarevac,wikidata_structured,https://www.wikidata.org
Aleksandr Kosarev,bornIn,Rivne,wikidata_structured,https://www.wikidata.org
Claudio Bonati,bornIn,Peschiera del Garda,wikidata_structured,https://www.wikidata.org
Mohammad Mousavi,bornIn,Dezful,wikidata_structured,https://www.wikidata.org
Matey Kaziyski,bornIn,Sofia,wikidata_structured,https://www.wikidata.org
Joost Borremans,bornIn,Halle,wikidata_structured,https://www.wikidata.org
Craig Buck,bornIn,Los Angeles,wikidata_structured,https://www.wikidata.org
Eugenio Amore,bornIn,Vergato,wikidata_structured,https://www.wikidata.org
Ron Zwerver,bornIn,Amsterdam,wikidata_structured,https://www.wikidata.org
Keith Erickson,bornIn,San Francisco,wikidata_structured,https://www.wikidata.org
Adam Keefe,bornIn,Irvine,wikidata_structured,https://www.wikidata.org
Dmitry Fomin,bornIn,Sevastopol,wikidata_structured,https://www.wikidata.org
Bian Hongmin,bornIn,Hangzhou,wikidata_structured,https://www.wikidata.org
Kars van Tarel,bornIn,Borne,wikidata_structured,https://www.wikidata.org
Philippe Blain,bornIn,Montpellier,wikidata_structured,https://www.wikidata.org
Alessandro Farina,bornIn,Parma,wikidata_structured,https://www.wikidata.org
Renaud Herpe,bornIn,Narbonne,wikidata_structured,https://www.wikidata.org
Jacques de Vink,bornIn,Leiden,wikidata_structured,https://www.wikidata.org
Sven Dörendahl,bornIn,Berlin,wikidata_structured,https://www.wikidata.org
Arie Selinger,bornIn,Kraków,wikidata_structured,https://www.wikidata.org
Nathan French,bornIn,Chelmsford,wikidata_structured,https://www.wikidata.org
Stefan Windscheif,bornIn,Iserlohn,wikidata_structured,https://www.wikidata.org
Aleksandar Mitrović,bornIn,Kruševac,wikidata_structured,https://www.wikidata.org
Łukasz Żygadło,bornIn,Sulechów,wikidata_structured,https://www.wikidata.org
Yevgeny Sivozhelez,bornIn,Chaykovsky,wikidata_structured,https://www.wikidata.org
Gregory Berrios,bornIn,San Juan,wikidata_structured,https://www.wikidata.org
Vital Heynen,bornIn,Maaseik,wikidata_structured,https://www.wikidata.org
Mohamed Amine Zouaoui,bornIn,Tunis,wikidata_structured,https://www.wikidata.org
Philippe Barca-Cysique,bornIn,Paris,wikidata_structured,https://www.wikidata.org
Alex Posthuma,bornIn,Sneek,wikidata_structured,https://www.wikidata.org
Stefan Uhmann,bornIn,Perleberg,wikidata_structured,https://www.wikidata.org
Akis Chatziantoniou,bornIn,Greece,wikidata_structured,https://www.wikidata.org
Kristof Hoho,bornIn,Maaseik,wikidata_structured,https://www.wikidata.org
Jarmo Kaaretkoski,bornIn,Rovaniemi,wikidata_structured,https://www.wikidata.org
Jeroen Trommel,bornIn,Apeldoorn,wikidata_structured,https://www.wikidata.org
Thomas Broscheit,bornIn,Hamburg,wikidata_structured,https://www.wikidata.org
Thomas Gailer,bornIn,Dachau,wikidata_structured,https://www.wikidata.org
Hendrik Tuerlinckx,bornIn,Diest,wikidata_structured,https://www.wikidata.org
Thilo Späth,bornIn,Achern,wikidata_structured,https://www.wikidata.org
Peter Blangé,bornIn,Voorburg,wikidata_structured,https://www.wikidata.org
Oleg Moliboga,bornIn,Dnipro,wikidata_structured,https://www.wikidata.org
Ronald Zoodsma,bornIn,Sneek,wikidata_structured,https://www.wikidata.org
Nikola Rosić,bornIn,Belgrade,wikidata_structured,https://www.wikidata.org
Slobodan Boškan,bornIn,Novi Sad,wikidata_structured,https://www.wikidata.org
Alessandro Fei,bornIn,Saronno,wikidata_structured,https://www.wikidata.org
Hans van Wijnen,bornIn,Voorburg,wikidata_structured,https://www.wikidata.org
Apostolos Nikolaidis,bornIn,Plovdiv,wikidata_structured,https://www.wikidata.org
Adam Johnson,bornIn,Laguna Beach,wikidata_structured,https://www.wikidata.org
Andrea Zorzi,bornIn,Noale,wikidata_structured,https://www.wikidata.org
Alojzy Świderek,bornIn,Łódź,wikidata_structured,https://www.wikidata.org
Clemens Doppler,bornIn,Kirchdorf an der Krems,wikidata_structured,https://www.wikidata.org
Xu Linyin,bornIn,Shanghai,wikidata_structured,https://www.wikidata.org
Hugh McCutcheon,bornIn,Christchurch,wikidata_structured,https://www.wikidata.org
Andrey Zhekov,bornIn,Sofia,wikidata_structured,https://www.wikidata.org
Nikos Samaras,bornIn,Stuttgart,wikidata_structured,https://www.wikidata.org
Andrea Sartoretti,bornIn,Perugia,wikidata_structured,https://www.wikidata.org
Boyan Yordanov,bornIn,Sofia,wikidata_structured,https://www.wikidata.org
Pavel Abramov,bornIn,Moscow,wikidata_structured,https://www.wikidata.org
Frank Reimann,bornIn,Dessau,wikidata_structured,https://www.wikidata.org
Konstantin Ushakov,bornIn,Omsk,wikidata_structured,https://www.wikidata.org
Joop Tinkhof,bornIn,Banda Aceh,wikidata_structured,https://www.wikidata.org
Samuel Fuchs,bornIn,Curitiba,wikidata_structured,https://www.wikidata.org
Kenji Kimura,bornIn,Setagaya,wikidata_structured,https://www.wikidata.org
William G. Morgan,bornIn,Lockport,wikidata_structured,https://www.wikidata.org
Alexander Kurzbach,bornIn,Hildesheim,wikidata_structured,https://www.wikidata.org
Evgeni Ivanov,bornIn,Sofia,wikidata_structured,https://www.wikidata.org
Robertlandy Simón,bornIn,Havana,wikidata_structured,https://www.wikidata.org
Alberto Salomoni,bornIn,Casale Monferrato,wikidata_structured,https://www.wikidata.org
Aljosa Urnaut,bornIn,Zagreb,wikidata_structured,https://www.wikidata.org
Theodoros Baev,bornIn,Nova Zagora,wikidata_structured,https://www.wikidata.org
Slobodan Kovač,bornIn,Veliko Gradište,wikidata_structured,https://www.wikidata.org
Robert Koch,bornIn,Kaposvár,wikidata_structured,https://www.wikidata.org
Robert Koch,bornIn,Tatabánya,wikidata_structured,https://www.wikidata.org
Wilfredo Leon,bornIn,Santiago de Cuba,wikidata_structured,https://www.wikidata.org
Dennis Barthel,bornIn,Düren,wikidata_structured,https://www.wikidata.org
Matej Černic,bornIn,Gorizia,wikidata_structured,https://www.wikidata.org
Ludovic Castard,bornIn,Clichy,wikidata_structured,https://www.wikidata.org
Aleksandr Abrossimov,bornIn,Novokuybyshevsk,wikidata_structured,https://www.wikidata.org
Andrea Giani,bornIn,Naples,wikidata_structured,https://www.wikidata.org
Andrea Lucchetta,bornIn,Treviso,wikidata_structured,https://www.wikidata.org
Nalbert Bitencourt,bornIn,Rio de Janeiro,wikidata_structured,https://www.wikidata.org
Marcus Guttmann,bornIn,Vienna,wikidata_structured,https://www.wikidata.org
Georgy Mondzolevski,bornIn,Orsha,wikidata_structured,https://www.wikidata.org
Joop Alberda,bornIn,Oosterwolde,wikidata_structured,https://www.wikidata.org
Wolfgang Schiesterl,bornIn,Schladming,wikidata_structured,https://www.wikidata.org
Teodor Todorov,bornIn,Montana,wikidata_structured,https://www.wikidata.org
Aleksandr Sokolov,bornIn,Kolomna,wikidata_structured,https://www.wikidata.org
Teun Buijs,bornIn,Oostzaan,wikidata_structured,https://www.wikidata.org
Valerio Vermiglio,bornIn,Messina,wikidata_structured,https://www.wikidata.org
Misha Latuhihin,bornIn,Nijmegen,wikidata_structured,https://www.wikidata.org
Jovica Simovski,bornIn,Tetovo,wikidata_structured,https://www.wikidata.org
Žarko Petrović,bornIn,Novi Sad,wikidata_structured,https://www.wikidata.org
Anderson Rodrigues,bornIn,Belo Horizonte,wikidata_structured,https://www.wikidata.org
Paolo Tofoli,bornIn,Fermo,wikidata_structured,https://www.wikidata.org
Giovanni Guidetti,bornIn,Modena,wikidata_structured,https://www.wikidata.org
Eduard Sibiryakov,bornIn,Chelyabinsk,wikidata_structured,https://www.wikidata.org
Daniele Lupo,bornIn,Rome,wikidata_structured,https://www.wikidata.org
Roman Yakovlev,bornIn,Kharkiv,wikidata_structured,https://www.wikidata.org
Yuriy Poyarkov,bornIn,Kharkiv,wikidata_structured,https://www.wikidata.org
Guillermo Falasca,bornIn,Mendoza,wikidata_structured,https://www.wikidata.org
Michał Bąkiewicz,bornIn,Piotrków Trybunalski,wikidata_structured,https://www.wikidata.org
Dinco van der Stoep,bornIn,Leiden,wikidata_structured,https://www.wikidata.org
Brecht Rodenburg,bornIn,Nieuwerkerk aan den IJssel,wikidata_structured,https://www.wikidata.org
Alexander Brouwer,bornIn,Leiden,wikidata_structured,https://www.wikidata.org
Guido Görtzen,bornIn,Heerlen,wikidata_structured,https://www.wikidata.org
Yassir Sliti,bornIn,Morocco,wikidata_structured,https://www.wikidata.org
Aki Riihimäki,bornIn,Finland,wikidata_structured,https://www.wikidata.org
Alain Fabiani,bornIn,Algiers,wikidata_structured,https://www.wikidata.org
Adam Kamiński,bornIn,Chatham-Kent,wikidata_structured,https://www.wikidata.org
Alexei Cheremisin,bornIn,Moscow,wikidata_structured,https://www.wikidata.org
Aleksey Babeshin,bornIn,Omsk,wikidata_structured,https://www.wikidata.org
Alen Pajenk,bornIn,Maribor,wikidata_structured,https://www.wikidata.org
Alex Damiaony,bornIn,Rio de Janeiro,wikidata_structured,https://www.wikidata.org
Ali Çayır,bornIn,Ankara,wikidata_structured,https://www.wikidata.org
Alexandre Sloboda,bornIn,Rio de Janeiro,wikidata_structured,https://www.wikidata.org
Alen Šket,bornIn,Celje,wikidata_structured,https://www.wikidata.org
Amine Bessrour,bornIn,Tunis,wikidata_structured,https://www.wikidata.org
André Heller,bornIn,Novo Hamburgo,wikidata_structured,https://www.wikidata.org
Mārtiņš Pļaviņš,bornIn,Riga,wikidata_structured,https://www.wikidata.org
Aleš Holubec,bornIn,Opava,wikidata_structured,https://www.wikidata.org
Adrien Clément,bornIn,Valence,wikidata_structured,https://www.wikidata.org
Arkadiusz Gołaś,bornIn,Przasnysz,wikidata_structured,https://www.wikidata.org
Alexey Ashapatov,bornIn,Saratov,wikidata_structured,https://www.wikidata.org
Adrien Taghin,bornIn,Meaux,wikidata_structured,https://www.wikidata.org
Alexandre Gaumont-Casias,bornIn,Marieville,wikidata_structured,https://www.wikidata.org
Matthias Häberlein,bornIn,Greiz,wikidata_structured,https://www.wikidata.org
Ahmed Kadhi,bornIn,Tunis,wikidata_structured,https://www.wikidata.org
Andrey Egorchev,bornIn,Naberezhnye Chelny,wikidata_structured,https://www.wikidata.org
Aleksandar Milivojević,bornIn,Novi Pazar,wikidata_structured,https://www.wikidata.org
Mike van de Goor,bornIn,Oss,wikidata_structured,https://www.wikidata.org
Peter Wohlfahrtstätter,bornIn,Wörgl,wikidata_structured,https://www.wikidata.org
Adrian Radu Gontariu,bornIn,Zalău,wikidata_structured,https://www.wikidata.org
Marian Kardas,bornIn,Włoszczowa,wikidata_structured,https://www.wikidata.org
Achilleas Papadimitriou,bornIn,Amaliada,wikidata_structured,https://www.wikidata.org
Lukáš Diviš,bornIn,Žilina,wikidata_structured,https://www.wikidata.org
Daniele Vergnaghi,bornIn,Milan,wikidata_structured,https://www.wikidata.org
Marien Moreau,bornIn,Évreux,wikidata_structured,https://www.wikidata.org
Osmany Juantorena,bornIn,Santiago de Cuba,wikidata_structured,https://www.wikidata.org
Alexandre Antônio Bergamo,bornIn,Bento Gonçalves,wikidata_structured,https://www.wikidata.org
Bram Vermeulen,bornIn,The Hague,wikidata_structured,https://www.wikidata.org
Alexis Farjaudon,bornIn,La Seyne-sur-Mer,wikidata_structured,https://www.wikidata.org
Amaury Lepetit,bornIn,Sainte-Adresse,wikidata_structured,https://www.wikidata.org
Adrián Gavira,bornIn,La Línea de la Concepción,wikidata_structured,https://www.wikidata.org
Piotr Gruszka,bornIn,Oświęcim,wikidata_structured,https://www.wikidata.org
Ljubisa Ristić,bornIn,Brčko,wikidata_structured,https://www.wikidata.org
Arjan van Duinen,bornIn,Winschoten,wikidata_structured,https://www.wikidata.org
Jan van der Hoek,bornIn,Dordrecht,wikidata_structured,https://www.wikidata.org
Paolo Cozzi,bornIn,Milan,wikidata_structured,https://www.wikidata.org
Kevin Hansen,bornIn,Newport Beach,wikidata_structured,https://www.wikidata.org
Ángel Dennis,bornIn,Havana,wikidata_structured,https://www.wikidata.org
Michael Sánchez,bornIn,Poltava,wikidata_structured,https://www.wikidata.org
Yury Berezhko,bornIn,Komsomolsk-on-Amur,wikidata_structured,https://www.wikidata.org
Dallas Soonias,bornIn,Saskatoon,wikidata_structured,https://www.wikidata.org
Cristian Savani,bornIn,Castiglione delle Stiviere,wikidata_structured,https://www.wikidata.org
Hristo Tsvetanov,bornIn,Cherven bryag,wikidata_structured,https://www.wikidata.org
Giacomo Giretto,bornIn,Imperia,wikidata_structured,https://www.wikidata.org
Tomasz Wójtowicz,bornIn,Lublin,wikidata_structured,https://www.wikidata.org
Riad Garcia Pires Ribeiro,bornIn,Rio de Janeiro,wikidata_structured,https://www.wikidata.org
Michal Rak,bornIn,Liberec,wikidata_structured,https://www.wikidata.org
Katsutoshi Nekoda,bornIn,Hiroshima,wikidata_structured,https://www.wikidata.org
Aldis Berzins,bornIn,Wilmington,wikidata_structured,https://www.wikidata.org
Radostin Stoychev,bornIn,Sofia,wikidata_structured,https://www.wikidata.org
Samuele Papi,bornIn,Ancona,wikidata_structured,https://www.wikidata.org
Olli Kunnari,bornIn,Alahärmä,wikidata_structured,https://www.wikidata.org
Brian Thornton,bornIn,San Clemente,wikidata_structured,https://www.wikidata.org
